Country,Year,Scenario,CO2_Projected
Australia,2025,BAU,417.5154047515767
Australia,2025,Moderate,417.5154047515767
Australia,2025,Aggressive,417.5154047515767
Australia,2026,BAU,418.7127222692376
Australia,2026,Moderate,410.33846782385285
Australia,2026,Aggressive,397.7770861557757
Australia,2027,BAU,419.8093839691816
Australia,2027,Moderate,403.184932364002
Australia,2027,Aggressive,378.8779690321864
Australia,2028,BAU,420.81385176188
Australia,2028,Moderate,396.06663076746736
Australia,2028,Aggressive,360.7952761543418
Australia,2029,BAU,421.7338761838326
Australia,2029,Moderate,388.99389938534944
Australia,2029,Aggressive,343.50487798845774
Australia,2030,BAU,422.576556201193
Australia,2030,Moderate,381.97573739038233
Australia,2030,Aggressive,326.9816838228805
Australia,2031,BAU,423.3483939858373
Australia,2031,Moderate,375.01994926336477
Australia,2031,Aggressive,311.1999713281064
Australia,2032,BAU,424.0553450865301
Australia,2032,Moderate,368.1332725793658
Australia,2032,Aggressive,296.1336630818294
Australia,2033,BAU,424.7028643823119
Australia,2033,Moderate,361.3214926010378
Australia,2033,Aggressive,281.7565574582135
Australia,2034,BAU,425.2959481726884
Australia,2034,Moderate,354.5895450319991
Australia,2034,Aggressive,268.0425202941048
Australia,2035,BAU,425.8391727293909
Australia,2035,Moderate,347.94160814467426
Australia,2035,Aggressive,254.96564288779877
Australia,2036,BAU,426.336729607176
Australia,2036,Moderate,341.3811853726045
Australia,2036,Aggressive,242.50037114140574
Australia,2037,BAU,426.7924579861248
Australia,2037,Moderate,334.91117934559406
Australia,2037,Aggressive,230.62161001113458
Australia,2038,BAU,427.2098742949975
Australia,2038,Moderate,328.5339582458476
Australia,2038,Aggressive,219.3048068681694
Australia,2039,BAU,427.59219934421833
Australia,2039,Moderate,322.25141527329987
Australia,2039,Aggressive,208.52601688515503
Australia,2040,BAU,427.9423831778507
Australia,2040,Moderate,316.0650219276007
Australia,2040,Aggressive,198.26195313996286
Brazil,2025,BAU,485.74341093283454
Brazil,2025,Moderate,485.74341093283454
Brazil,2025,Aggressive,485.74341093283454
Brazil,2026,BAU,489.9737321169282
Brazil,2026,Moderate,480.17425747458964
Brazil,2026,Aggressive,465.47504551108176
Brazil,2027,BAU,493.991925755213
Brazil,2027,Moderate,474.42984549530655
Brazil,2027,Aggressive,445.8277129940797
Brazil,2028,BAU,497.8086288876989
Brazil,2028,Moderate,468.53349904007104
Brazil,2028,Aggressive,426.8086731925908
Brazil,2029,BAU,501.4339451648274
Brazil,2029,Moderate,462.5067053632227
Brazil,2029,Aggressive,408.42108229890914
Brazil,2030,BAU,504.87747159405023
Brazil,2030,Moderate,456.3692464096632
Brazil,2030,Aggressive,390.6645632926737
Brazil,2031,BAU,508.1483239452135
Brazil,2031,Moderate,450.139321115679
Brazil,2031,Aggressive,373.5357121668119
Brazil,2032,BAU,511.255160882
Brazil,2032,Moderate,443.8336591658238
Brazil,2032,Aggressive,357.02854666431085
Brazil,2033,BAU,514.2062068833117
Brazil,2033,Moderate,437.46762679836115
Brazil,2033,Aggressive,341.1349035420394
Brazil,2034,BAU,517.009274015269
Brazil,2034,Moderate,431.05532521076395
Brazil,2034,Aggressive,325.844789770272
Brazil,2035,BAU,519.6717826114642
Brazil,2035,Moderate,424.60968207860407
Brazil,2035,Aggressive,311.14669252934016
Brazil,2036,BAU,522.2007809162117
Brazil,2036,Moderate,418.1425366656364
Brazil,2036,Aggressive,297.0278523719805
Brazil,2037,BAU,524.6029637427968
Brazil,2037,Moderate,411.66471896981346
Brazil,2037,Aggressive,283.47450347613665
Brazil,2038,BAU,526.8846901961155
Brazil,2038,Moderate,405.1861233191863
