Country,Baseline MAE,Baseline RMSE,LR MAE,LR RMSE,RF MAE,RF RMSE,Best Model
Australia,6.700200000000018,8.887580604416488,27.036408462587346,27.928803823479235,11.187017500000081,13.159982442320263,Baseline
Brazil,19.741200000000003,26.35264452004769,27.94523412845014,32.11645563629189,19.632832499999992,22.598884544453117,Random Forest
China,315.10440000000017,344.1218816843823,131.0633610056443,137.3812031803481,1063.3753049999882,1160.6994526741307,Linear Regression
Germany,39.59440000000002,46.43111152664774,39.309511626969964,43.09395783000049,82.47859749999964,89.342005835622,Linear Regression
India,191.83780000000007,197.18814687551583,177.97552692608804,199.49442802851928,112.46816500000114,136.32667673766488,Random Forest
Japan,36.525999999999975,39.83091486772554,35.154724068586006,38.1060283358117,89.83018499999932,92.29284909977603,Linear Regression
Russia,44.23579999999997,50.30713408454108,56.85714342714516,64.87319664160393,35.50142000000028,40.61908253519524,Random Forest
South Africa,12.265200000000004,17.07789175513183,14.687994707164322,15.992981642247937,16.154535000000138,19.44209569998955,Baseline
United Kingdom,18.842599999999994,23.468565686892756,19.99008898097955,25.233002614380656,48.50456249999988,48.7746157036938,Baseline
United States,212.5380000000003,292.33245802065863,293.63041753950165,374.5925854478742,347.2417750000027,372.2862555074254,Baseline
