Country,Year,Forecast_CO2,Lower_95,Upper_95
Australia,2024,380.12845013252024,370.1389228240814,390.11797744095907
Australia,2025,376.96881028377237,362.8414852824818,391.0961352850629
Australia,2026,374.4410984047741,357.1387295629613,391.7434672465869
Australia,2027,372.4189289015755,352.43987428469785,392.39798351845315
Australia,2028,370.80119329901663,348.4639311742569,393.13845542377635
Australia,2029,369.50700481696947,345.03776013969616,393.9762494942428
Australia,2030,368.4716540313318,342.0418490581143,394.90145900454934
Australia,2031,367.6433734028216,339.38872340024045,395.8980234054028
Australia,2032,366.9807489000135,337.01216697469704,396.94933082533
Australia,2033,366.45064929776703,334.860990254649,398.0403083408851
Australia,2034,366.02656961596983,332.8950557008694,399.15808353107025
Australia,2035,365.68730587053204,331.0825681869064,400.29204355415766
Australia,2036,365.41589487418184,329.3981419459579,401.4336478024058
Australia,2037,365.1987660771017,327.8213774331016,402.57615472110183
Australia,2038,365.02506303943755,326.3357901373698,403.7143359415053
Australia,2039,364.88610060930625,324.92799137555096,404.84420984306155
Australia,2040,364.77493066520117,323.58705442251585,405.9628069078865
Australia,2041,364.68599470991717,322.30401970604544,407.0679697137889
Australia,2042,364.6148459456899,321.07150591446526,408.1581859769146
Australia,2043,364.55792693430817,319.88340268478873,409.2324511838276
Brazil,2024,483.8112540996719,441.7902939635195,525.8322142358243
Brazil,2025,486.8335688170648,427.40695708857896,546.2601805455507
Brazil,2026,489.6834568856304,416.9010189469881,562.4658948242727
Brazil,2027,492.3707554507376,408.3288351784329,576.4126757230423
Brazil,2028,494.90474043691364,400.94301709266813,588.8664637811592
Brazil,2029,497.2941585661602,394.3642477307542,600.2240694015662
Brazil,2030,499.5472575495871,388.37024717716906,610.7242679220051
Brazil,2031,501.6718145565769,382.8185910996052,620.5250380135486
Brazil,2032,503.67516305975016,377.61228265129307,629.7380434682073
Brazil,2033,505.5642181483933,372.6822746510127,638.4461616457739
Brazil,2034,507.34550039772546,367.9777422956265,646.7132584998244
Brazil,2035,509.025158376395,363.46028249911035,654.5900342536796
Brazil,2036,510.60898986989685,359.10026345477127,662.1177162850224
Brazil,2037,512.1024618931689,354.87442600040106,669.3304977859367
Brazil,2038,513.5107295614449,350.7642507624811,676.2572083604088
Brazil,2039,514.8386538845043,346.75481333989484,682.9224944291138
Brazil,2040,516.0908185457378,342.8339614145125,689.347675676963
Brazil,2041,517.2715457239474,338.9917105384898,695.551380909405
Brazil,2042,518.3849110124945,335.2197922684552,701.5500297565338
Brazil,2043,519.4347574872928,331.5113107988018,707.3582041757838
China,2024,12074.100855206634,11645.775522265789,12502.42618814748
China,2025,12392.995121423895,11787.25162647098,12998.738616376811
China,2026,12673.689457775641,11931.80821895324,13415.570696598043
China,2027,12920.759784233842,12064.10911835215,13777.410450115534
China,2028,13138.233877261733,12180.469316320772,14095.998438202694
China,2029,13329.65703121262,12280.478521599829,14378.835540825412
China,2030,13498.149854235016,12364.907543044596,14631.392165425437
China,2031,13646.4591408814,12434.972150975567,14857.946130787232
China,2032,13777.002650753244,12492.026651930706,15061.978649575782
China,2033,13891.908523170343,12537.424891527322,15246.392154813364
China,2034,13993.049970408098,12572.455552839258,15413.644387976938
China,2035,14082.075815076985,12598.313337432184,15565.838292721786
China,2036,14160.437369469004,12616.0884189706,15704.786319967408
China,2037,14229.412095062136,12626.765449121613,15832.05874100266
China,2038,14290.124427883506,12631.227546644863,15949.021309122149
China,2039,14343.564109229328,12630.262777465945,16056.865440992711
China,2040,14390.60232057175,12624.57173072879,16156.63291041471
China,2041,14432.005885686147,12614.7754008274,16249.236370544893
China,2042,14468.449771524047,12601.422930276485,16335.476612771608
China,2043,14500.528091622715,12584.998969740791,16416.05721350464
Germany,2024,656.937778550427,608.9039865715957,704.9715705292582
Germany,2025,647.7561466584813,579.8261065898101,715.6861867271524
Germany,2026,638.6204229259953,555.4234547384652,721.8173911135253
Germany,2027,629.5303778121718,533.4627938545093,725.5979617698342
Germany,2028,620.4857829239173,513.0789588421666,727.8926070056681
Germany,2029,611.4864110101041,493.82813025097613,729.144691769232
Germany,2030,602.53203595586,475.4465678524635,729.6175040592566
Germany,2031,593.6224327768872,457.762352639545,729.4825129142293
Germany,2032,584.7573776138092,440.65600167731554,728.8587535503029
Germany,2033,575.9366477265465,424.04046041871345,727.8328350343796
Germany,2034,567.1600214887203,407.8499562369543,726.4700867404863
Germany,2035,558.427278382083,392.03334200702284,724.8212147571433
Germany,2036,549.7381989909791,376.5498990563322,722.926498925626
Germany,2037,541.0925649968307,361.36657242447393,720.8185575691874
Germany,2038,532.490159172653,346.4560827834482,718.5242355618577
Germany,2039,523.9307653775961,331.7955974622712,716.065933292921
Germany,2040,515.4141685515145,317.3657706238471,713.462566479182
Germany,2041,506.94015470956344,303.15003450355016,710.7302749155767
Germany,2042,498.508510936822,289.13406582604205,707.882956047602
Germany,2043,490.1190253829443,275.3053772194428,704.9326735464458
India,2024,2892.340939632588,2744.5777343918503,3040.1041448733254
India,2025,2975.6967980378304,2766.7280691666606,3184.665526909
India,2026,3058.6358771510463,2802.7024981848613,3314.5692561172314
India,2027,3141.1602608686962,2845.6338503872216,3436.686671350171
India,2028,3223.272022667758,2892.863451176216,3553.6805941592997
India,2029,3304.9732256578245,2943.028770059873,3666.917681255776
India,2030,3386.2659226329406,2995.3212286401535,3777.2106166257277
India,2031,3467.1521561231807,3049.2146983808407,3885.0896138655207
India,2032,3547.63395844597,3104.344342723758,3990.9235741681823
India,2033,3627.7133517571456,3160.4450688294864,4094.9816346848047
India,2034,3707.3923481017646,3217.317238497962,4197.467457705567
India,2035,3786.672949464661,3274.8061915322915,4298.539707397031
India,2036,3865.557147820743,3332.7893346983556,4398.3249609431305
India,2037,3944.0469251850445,3391.1676368026456,4496.9262135674435
India,2038,4022.1442536625245,3449.8598205829203,4594.428686742129
India,2039,4099.851095497617,3508.798274534668,4690.9039164605665
India,2040,4177.169403123534,3567.9261003361526,4786.412705910915
India,2041,4254.101119211321,3627.194932597811,4881.007305824831
India,2042,4330.64817671867,3686.563297500636,4974.733055936704
India,2043,4406.812498938481,3745.995355955398,5067.629641921565
Japan,2024,1023.454149342189,953.7970924892924,1093.1112061950857
Japan,2025,1018.5014685393085,919.9915140229482,1117.0114230556687
Japan,2026,1014.539323897004,893.8897623220731,1135.1888854719348
Japan,2027,1011.3696081831605,872.0554944773671,1150.6837218889539
Japan,2028,1008.8338356120857,853.0759213764412,1164.5917498477302
Japan,2029,1006.8052175552259,836.1809712815909,1177.429463828861
Japan,2030,1005.1823231097379,820.8870736162859,1189.47757260319
Japan,2031,1003.8840075533476,806.8640985206272,1200.9039165860681
Japan,2032,1002.8453551082354,793.8741845495454,1211.8165256669254
Japan,2033,1002.0144331521456,781.7394783931518,1222.2893879111393
Japan,2034,1001.3496955872738,770.3233740057613,1232.3760171687863
Japan,2035,1000.8179055353763,759.5187823855147,1242.117028685238
Japan,2036,1000.3924734938583,749.2403833128292,1251.5445636748875
Japan,2037,1000.052127860644,739.4192865460708,1260.6849691752172
Japan,2038,999.7798513540724,729.9992302169804,1269.5604724911645
Japan,2039,999.5620301488152,720.9338027372286,1278.1902575604017
Japan,2040,999.3877731846095,712.184370210462,1286.591176158757
Japan,2041,999.2483676132449,703.7185040641643,1294.7782311623255
Japan,2042,999.1368431561532,695.5087716299092,1302.7649146823971
Japan,2043,999.0476235904798,687.5317951191907,1310.5634520617689
Russia,2024,1674.0283885077408,1590.8773315956366,1757.179445419845
Russia,2025,1673.9942376253027,1556.400885214548,1791.5875900360575
Russia,2026,1673.9669169193526,1529.945061644537,1817.9887721941682
Russia,2027,1673.9450603545922,1507.6429465303838,1840.2471741788006
Russia,2028,1673.927575102784,1487.9961594463653,1859.8589907592027
Russia,2029,1673.9135869013373,1470.235925893558,1877.5912479091166
Russia,2030,1673.9023963401803,1453.9053784985742,1893.8994141817864
Russia,2031,1673.8934438912545,1438.7067390697448,1909.0801487127642
Russia,2032,1673.8862819321137,1424.433111195801,1923.3394526684262
Russia,2033,1673.8805523648011,1410.9338226722646,1936.8272820573377
Russia,2034,1673.8759687109512,1398.0951120120137,1949.6568254098886
Russia,2035,1673.8723017878713,1385.8285912382398,1961.9160123375027
Russia,2036,1673.8693682494072,1374.0639689437912,1973.6747675550232
Russia,2037,1673.867021418636,1362.7442551054012,1984.989787731871
Russia,2038,1673.865143954019,1351.8224853138945,1995.9078025941435
Russia,2039,1673.8636419823254,1341.2594143339088,2006.467869630742
Russia,2040,1673.8624404049706,1331.0218498746196,2016.7030309353215
Russia,2041,1673.8614791430866,1321.0814219108222,2026.641536375351
Russia,2042,1673.8607101335797,1311.4136560051184,2036.307764262041
Russia,2043,1673.860094925974,1301.9972636131365,2045.7229262388114
South Africa,2024,433.62918193594606,394.2972570371057,472.96110683478645
South Africa,2025,434.24597379215106,378.62223216597096,489.86971541833117
South Africa,2026,434.80316244296364,366.6782701586887,502.9280547272386
South Africa,2027,435.3065075981746,356.6426578004938,513.9703573958554
South Africa,2028,435.76121238246066,347.81235462273696,523.7100701421843
South Africa,2029,436.1719771205576,339.82883051692977,532.5151237241854
South Africa,2030,436.5430479249451,332.4805560571441,540.6055397927461
South Africa,2031,436.8782605882976,325.63077733593735,548.1257438406578
South Africa,2032,437.1810802344225,319.1853055379013,555.1768549309437
South Africa,2033,437.45463713756,313.07616969853655,561.8331045765834
South Africa,2034,437.7017590803131,307.2525219084222,568.150996252204
South Africa,2035,437.92500058469346,301.6752160161436,574.1747851532433
South Africa,2036,438.1266693184482,296.31339733298034,579.939941303916
South Africa,2037,438.30884994963105,291.14226261584696,585.4754372834152
South Africa,2038,438.47342569600613,286.14153558851643,590.8053158034959
South Africa,2039,438.6220977920409,281.2943981966793,595.9497973874024
South Africa,2040,438.7564030747222,276.58672225794203,600.9260838915023
South Africa,2041,438.87772986997953,272.0065049914392,605.7489547485198
South Africa,2042,438.98733234393694,267.5434464549604,610.4312182329135
South Africa,2043,439.0863434673422,263.1886279478948,614.9840589867896
United Kingdom,2024,298.8412200750437,266.36306385569105,331.3193762943963
United Kingdom,2025,284.344981469966,238.4139324636854,330.2760304762466
United Kingdom,2026,269.95620889347447,213.70239218539655,326.2100256015524
United Kingdom,2027,255.6741056597794,190.7177932210741,320.6304180984847
United Kingdom,2028,241.4978809892204,168.87451589889028,314.1212460795505
United Kingdom,2029,227.42674996448176,147.87183944066777,306.98166048829574
United Kingdom,2030,213.45993348713296,127.53080908882009,299.3890578854458
United Kingdom,2031,199.59665823449103,107.7345602219298,291.4587562470523
United Kingdom,2032,185.8361566168027,88.40168795874473,283.27062527486066
United Kingdom,2033,172.17766673474404,69.47271887882643,274.88261459066166
United Kingdom,2034,158.62043233723534,50.90257427509492,266.33829039937575
