Country,Baseline MAE,LR MAE,RF MAE,ETS MAE,Baseline RMSE,LR RMSE,RF RMSE,ETS RMSE,Best Model
Australia,6.700200000000018,27.036408462587342,11.18701750000008,21.55592595727991,8.887580604416488,27.928803823479235,13.159982442320263,25.26202706831081,Naive Baseline
Brazil,19.741200000000003,27.94523412845014,19.632832499999992,15.708092046473496,26.35264452004769,32.11645563629189,22.59888454445312,20.51247373370397,"ETS(A,Ad,N)"
China,315.10440000000017,131.0633610056443,1063.3753049999882,194.2626985357483,344.1218816843823,137.3812031803481,1160.6994526741307,255.19405070342603,Linear Regression
Germany,39.59440000000002,39.309511626969964,82.47859749999964,78.2386842748981,46.43111152664774,43.09395783000049,89.342005835622,80.70142628446152,Linear Regression
India,191.83780000000007,177.97552692608804,112.46816500000114,236.24548822527265,197.18814687551583,199.49442802851928,136.32667673766488,260.4178412449223,Random Forest
Japan,36.525999999999975,35.154724068586006,89.83018499999932,74.19656438912631,39.83091486772554,38.1060283358117,92.29284909977603,78.50247515744566,Linear Regression
Russia,44.23579999999997,56.85714342714516,35.50142000000028,41.92903490879178,50.30713408454108,64.87319664160393,40.61908253519524,49.55092397341594,Random Forest
South Africa,12.265200000000004,14.687994707164322,16.154535000000138,20.47216291517168,17.07789175513183,15.992981642247935,19.44209569998955,21.01430048034314,Naive Baseline
United Kingdom,18.842599999999997,19.99008898097955,48.50456249999988,10.02886758188005,23.46856568689276,25.233002614380656,48.7746157036938,11.878864091254242,"ETS(A,Ad,N)"
United States,212.5380000000003,293.63041753950165,347.2417750000027,290.7127415897214,292.33245802065863,374.5925854478742,372.2862555074254,350.717122360377,Naive Baseline
