Country,Scenario,Cumulative_CO2
Australia,Aggressive,4131.58410490455
Australia,BAU,5890.698092089772
Australia,Moderate,5088.762069241209
Brazil,Aggressive,5613.6789096708235
Brazil,BAU,8055.067445999687
Brazil,Moderate,6941.105598480694
China,Aggressive,151520.4455952087
China,BAU,218758.12154864855
China,Moderate,188056.83088909645
Germany,Aggressive,6610.209750639204
Germany,BAU,9292.98079236415
Germany,Moderate,8073.305719081769
India,Aggressive,39157.93420628173
India,BAU,57335.33769619828
India,Moderate,49013.74962449143
Japan,Aggressive,11264.328369685778
Japan,BAU,16075.3174298749
Japan,Moderate,13881.880780211412
Russia,Aggressive,18743.527126165784
Russia,BAU,26782.3859379399
Russia,Moderate,23116.784236362113
South Africa,Aggressive,4889.877351262846
South Africa,BAU,6992.260064717388
South Africa,Moderate,6033.502789526333
United Kingdom,Aggressive,2181.549490607951
United Kingdom,BAU,2881.187869676271
United Kingdom,Moderate,2567.762075040433
United States,Aggressive,54742.54947091904
United States,BAU,78131.86103306586
United States,Moderate,67468.12156050293
