Country,Year,Scenario,CO2_Projected
Australia,2025,BAU,374.4410984047741
Australia,2025,Moderate,374.4410984047741
Australia,2025,Aggressive,374.4410984047741
Australia,2026,BAU,372.4189289015755
Australia,2026,Moderate,364.970550323544
Australia,2026,Aggressive,353.7979824564967
Australia,2027,BAU,370.80119329901663
Australia,2027,Moderate,356.11746604437553
Australia,2027,Aggressive,334.6480769523625
Australia,2028,BAU,369.5070048169695
Australia,2028,Moderate,347.77703687769315
Australia,2028,Aggressive,316.8060682549492
Australia,2029,BAU,368.4716540313318
Australia,2029,Moderate,339.86652154103604
Australia,2029,Aggressive,300.1224651563574
Australia,2030,BAU,367.6433734028216
Australia,2030,Moderate,332.32049102451845
Australia,2030,Aggressive,284.4754341372978
Australia,2031,BAU,366.9807489000135
Australia,2031,Moderate,325.0871003368417
Australia,2031,Aggressive,269.76457253188926
Australia,2032,BAU,366.45064929776703
Australia,2032,Moderate,318.12516533023074
Australia,2032,Aggressive,255.90615558240157
Australia,2033,BAU,366.0265696159698
Australia,2033,Moderate,311.40187071172477
Australia,2033,Aggressive,242.82950467788262
Australia,2034,BAU,365.687305870532
Australia,2034,Moderate,304.8909729089596
Australia,2034,Aggressive,230.47420866868535
Australia,2035,BAU,365.4158948741818
Australia,2035,Moderate,298.5713909061724
Australia,2035,Aggressive,218.78799444602075
Australia,2036,BAU,365.1987660771017
Australia,2036,Moderate,292.42610125307635
Australia,2036,Aggressive,207.72509184390466
Australia,2037,BAU,365.0250630394376
Australia,2037,Moderate,286.4412715493963
Australia,2037,Aggressive,197.24497506305
Australia,2038,BAU,364.8861006093063
Australia,2038,Moderate,280.60558089837133
Australia,2038,Aggressive,187.3113910465163
Australia,2039,BAU,364.7749306652012
Australia,2039,Moderate,274.9096869478949
Australia,2039,Aggressive,177.89160669402074
Australia,2040,BAU,364.6859947099172
Australia,2040,Moderate,269.34580786025003
Australia,2040,Aggressive,168.95582311119074
Brazil,2025,BAU,489.6834568856304
Brazil,2025,Moderate,489.6834568856304
Brazil,2025,Aggressive,489.6834568856304
Brazil,2026,BAU,492.3707554507376
Brazil,2026,Moderate,482.5233403417228
Brazil,2026,Aggressive,467.7522176782007
Brazil,2027,BAU,494.9047404369136
Brazil,2027,Moderate,475.30651271561175
Brazil,2027,Aggressive,446.6515282443145
Brazil,2028,BAU,497.2941585661602
Brazil,2028,Moderate,468.0492836892014
Brazil,2028,Aggressive,426.36757920066157
Brazil,2029,BAU,499.5472575495871
Brazil,2029,Moderate,460.76648477905866
